Designator,Mid X,Mid Y,Layer,Rotation
R54,74.995mm,71.0mm,Bottom,0.0
F1,68.4mm,65.5mm,Top,270.0
F2,53.0mm,65.0mm,Top,270.0
F3,50.5mm,65.0mm,Top,270.0
J1,77.404267mm,89.716479mm,Top,0.0
R1,64.0mm,65.5mm,Top,270.0
R2,60.5mm,65.5mm,Top,270.0
R3,55.3mm,65.5mm,Top,270.0
R4,71.4mm,65.5mm,Top,270.0
R5,57.8mm,65.5mm,Top,270.0
R6,77.0mm,65.5mm,Top,270.0
R7,75.1mm,65.5mm,Top,270.0
R8,73.3mm,65.5mm,Top,270.0
R9,37.5mm,66.5mm,Top,270.0
R10,35.5mm,66.5mm,Top,270.0
R11,10.095mm,68.5mm,Top,0.0
R12,22.0mm,66.5mm,Top,270.0
R13,33.5mm,66.5mm,Top,270.0
R14,31.5mm,66.5mm,Top,270.0
R15,28.25mm,66.5mm,Top,270.0
R16,24.5mm,66.5mm,Top,270.0
