Comment,Designator,Footprint,LCSC Part #
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"12H1500D","F3","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G4","rusefi_logo",""
"rusefi_2x56_pin_conn","J1","rusefi_2x56_pin_connector",""
"Jumper-Pad-Pad","R1","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R2","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R5","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R6","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R7","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R8","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R14","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R15","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R16","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R54","PAD-0805-PAD","C17477"
