Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R54,74.995mm,71.000000mm,Bottom,0.0,74.995mm,71.000000mm
F1,68.400000mm,65.500000mm,Top,-90.0,68.400000mm,65.500000mm
F2,53.000000mm,65.000000mm,Top,-90.0,53.000000mm,65.000000mm
F3,50.500000mm,65.000000mm,Top,-90.0,50.500000mm,65.000000mm
J1,77.404267mm,89.716479mm,Top,0.0,77.404267mm,89.716479mm
R1,64.000000mm,65.500000mm,Top,-90.0,64.000000mm,65.500000mm
R2,60.500000mm,65.500000mm,Top,-90.0,60.500000mm,65.500000mm
R3,55.300000mm,65.500000mm,Top,-90.0,55.300000mm,65.500000mm
R4,71.400000mm,65.500000mm,Top,-90.0,71.400000mm,65.500000mm
R5,57.800000mm,65.500000mm,Top,-90.0,57.800000mm,65.500000mm
R6,77.000000mm,65.500000mm,Top,-90.0,77.000000mm,65.500000mm
R7,75.100000mm,65.500000mm,Top,-90.0,75.100000mm,65.500000mm
R8,73.300000mm,65.500000mm,Top,-90.0,73.300000mm,65.500000mm
R9,37.500000mm,66.500000mm,Top,-90.0,37.500000mm,66.500000mm
R10,35.500000mm,66.500000mm,Top,-90.0,35.500000mm,66.500000mm
R11,10.095000mm,68.500000mm,Top,0.0,10.095000mm,68.500000mm
R12,22.000000mm,66.500000mm,Top,-90.0,22.000000mm,66.500000mm
R13,33.500000mm,66.500000mm,Top,-90.0,33.500000mm,66.500000mm
R14,31.500000mm,66.500000mm,Top,-90.0,31.500000mm,66.500000mm
R15,28.250000mm,66.500000mm,Top,-90.0,28.250000mm,66.500000mm
R16,24.500000mm,66.500000mm,Top,-90.0,24.500000mm,66.500000mm
